2016-01-01,София,3.23
2016-01-01,Варна,7.12
2016-01-01,Бургас,1.1
2016-01-01,Русе,-4.56
2016-01-01,Плевен,6.57
2016-01-02,София,-5.33
2016-01-02,Варна,3.7
2016-01-02,Бургас,2.02
2016-01-02,Русе,3.74
2016-01-02,Плевен,-2.46
2016-01-03,София,5.59
2016-01-03,Варна,3.84
2016-01-03,Бургас,4.43
2016-01-03,Русе,0.88
2016-01-03,Плевен,-5.19
2016-01-04,София,0.75
2016-01-04,Варна,7.37
2016-01-04,Бургас,3.02
2016-01-04,Русе,-0.86
2016-01-04,Плевен,-2.39
2016-01-05,София,-1.8
2016-01-05,Варна,2.84
2016-01-05,Бургас,-2.05
2016-01-05,Русе,-2.38
2016-01-05,Плевен,2.04
2016-01-06,София,-7.61
2016-01-06,Варна,0.27
2016-01-06,Бургас,-7.29
2016-01-06,Русе,1.21
2016-01-06,Плевен,2.04
2016-01-07,София,-2.6
2016-01-07,Варна,6.67
2016-01-07,Бургас,-0.05
2016-01-07,Русе,-6.43
2016-01-07,Плевен,4.01
2016-01-08,София,-7.82
2016-01-08,Варна,-6.6
2016-01-08,Бургас,-6.75
2016-01-08,Русе,-0.97
2016-01-08,Плевен,6.56
2016-01-09,София,-6.68
2016-01-09,Варна,-7.45
2016-01-09,Бургас,-1.2
2016-01-09,Русе,3.99
2016-01-09,Плевен,-5.74
2016-01-10,София,-1.97
2016-01-10,Варна,-1.41
2016-01-10,Бургас,-0.15
2016-01-10,Русе,6.14
2016-01-10,Плевен,-4.27
2016-01-11,София,1.36
2016-01-11,Варна,1.9
2016-01-11,Бургас,2.68
2016-01-11,Русе,-5.36
2016-01-11,Плевен,-2.94
